pecha id,language,url
I9A4D2DB8,sa,https://github.com/OpenPecha/I9A4D2DB8
IBAA4E904,zh,https://github.com/OpenPecha/IBAA4E904
I3E20A407,bo,https://github.com/OpenPecha/I3E20A407
IBA122D5F,en,https://github.com/OpenPecha/IBA122D5F
IAABDAE8E,en,https://github.com/OpenPecha/IAABDAE8E
IA9B2BE25,bo,https://github.com/OpenPecha/IA9B2BE25
I64D4110B,zh,https://github.com/OpenPecha/I64D4110B
IFEF9B542,bo,https://github.com/OpenPecha/IFEF9B542
I78A87EE8,bo,https://github.com/OpenPecha/I78A87EE8
I523FF6FB,sa,https://github.com/OpenPecha/I523FF6FB
